Source,Target,Year
23,3175,1996
23,3753,1996
26,16,1996
26,1094,1996
26,1003,1996
26,1002,1996
26,1004,1996
26,1402,1996
26,1101,1996
26,1023,1996
26,2078,1996
27,2426,1996
27,1146,1996
108,382,1996
108,139,1996
108,3995,1996
108,1429,1996
139,107,1996
139,3695,1996
181,750,1996
181,573,1996
181,7419,1996
185,813,1996
194,6295,1996
194,203,1996
194,2914,1996
194,2092,1996
194,5332,1996
195,1342,1996
195,7622,1996
195,1409,1996
195,198,1996
195,1347,1996
195,205,1996
199,1342,1996
199,192,1996
199,7622,1996
199,1409,1996
199,195,1996
199,197,1996
199,1421,1996
199,198,1996
199,4006,1996
199,205,1996
199,1535,1996
206,773,1996
206,605,1996
206,778,1996
236,4687,1996
236,421,1996
236,1102,1996
236,464,1996
281,2370,1996
281,2371,1996
281,3753,1996
281,21,1996
281,1975,1996
281,837,1996
282,6136,1996
282,813,1996
306,2025,1996
306,983,1996
306,941,1996
306,1007,1996
306,2093,1996
306,945,1996
306,1535,1996
306,208,1996
306,1448,1996
308,368,1996
308,369,1996
308,512,1996
308,370,1996
308,377,1996
308,439,1996
308,513,1996
308,427,1996
308,514,1996
308,515,1996
308,516,1996
308,208,1996
308,381,1996
373,368,1996
373,997,1996
373,375,1996
373,381,1996
375,3517,1996
375,2973,1996
375,381,1996
379,368,1996
379,372,1996
379,997,1996
380,208,1996
389,3337,1996
401,11826,1996
401,203,1996
401,7174,1996
401,1535,1996
401,778,1996
408,3811,1996
408,1033,1996
408,4821,1996
414,225,1996
414,229,1996
414,1085,1996
417,642,1996
417,260,1996
417,1399,1996
417,224,1996
417,225,1996
417,1398,1996
417,1401,1996
417,3678,1996
417,230,1996
417,229,1996
417,498,1996
417,739,1996
433,512,1996
433,370,1996
433,438,1996
433,443,1996
433,1952,1996
433,2070,1996
433,4401,1996
433,439,1996
433,1822,1996
462,2955,1996
462,464,1996
472,199,1996
472,1347,1996
475,473,1996
475,9368,1996
475,4082,1996
475,983,1996
475,2009,1996
475,478,1996
475,14,1996
475,7930,1996
493,225,1996
493,642,1996
493,229,1996
493,230,1996
493,701,1996
498,696,1996
498,225,1996
498,1367,1996
498,735,1996
498,230,1996
498,738,1996
498,739,1996
498,646,1996
515,368,1996
515,370,1996
515,998,1996
515,1000,1996
515,440,1996
515,1001,1996
515,208,1996
516,5173,1996
516,377,1996
516,513,1996
516,216,1996
516,1023,1996
521,524,1996
537,2274,1996
537,644,1996
537,224,1996
537,229,1996
537,539,1996
537,540,1996
537,2277,1996
537,271,1996
537,498,1996
537,2278,1996
537,2505,1996
537,3811,1996
537,696,1996
537,538,1996
551,3794,1996
551,3260,1996
551,3262,1996
551,6336,1996
551,2142,1996
553,473,1996
553,372,1996
553,4082,1996
553,2009,1996
553,478,1996
554,261,1996
554,1720,1996
554,557,1996
558,512,1996
558,8812,1996
558,2416,1996
558,307,1996
558,440,1996
610,539,1996
619,616,1996
619,6947,1996
619,3067,1996
619,621,1996
621,616,1996
621,619,1996
635,1942,1996
635,673,1996
636,1862,1996
636,5346,1996
636,3537,1996
636,5345,1996
642,224,1996
642,6188,1996
642,229,1996
642,230,1996
644,229,1996
644,540,1996
644,224,1996
644,645,1996
646,509,1996
646,735,1996
646,225,1996
646,1097,1996
646,4563,1996
646,230,1996
646,229,1996
672,635,1996
672,673,1996
685,684,1996
685,3754,1996
685,2326,1996
734,731,1996
734,1189,1996
734,732,1996
734,1033,1996
734,6273,1996
734,756,1996
734,508,1996
734,225,1996
734,733,1996
734,4118,1996
734,4426,1996
734,735,1996
734,2459,1996
734,230,1996
734,736,1996
734,737,1996
734,271,1996
734,1200,1996
734,739,1996
746,747,1996
747,3200,1996
747,746,1996
747,3314,1996
747,3315,1996
750,573,1996
761,773,1996
761,5597,1996
761,3636,1996
761,206,1996
761,778,1996
772,775,1996
772,776,1996
772,777,1996
776,773,1996
776,2340,1996
776,6032,1996
776,3636,1996
776,7957,1996
776,7958,1996
776,738,1996
776,777,1996
776,778,1996
792,786,1996
792,605,1996
822,624,1996
822,625,1996
822,628,1996
834,6954,1996
834,8293,1996
834,214,1996
834,837,1996
835,652,1996
835,830,1996
835,833,1996
858,0,1996
858,860,1996
858,9263,1996
866,870,1996
866,1172,1996
885,6047,1996
906,3102,1996
906,3100,1996
927,1002,1996
927,1004,1996
927,1007,1996
927,2802,1996
927,216,1996
931,2828,1996
931,929,1996
931,2674,1996
931,930,1996
931,932,1996
932,931,1996
932,930,1996
932,929,1996
941,4260,1996
941,6408,1996
945,199,1996
945,941,1996
945,378,1996
945,515,1996
957,0,1996
957,5332,1996
957,4859,1996
963,3421,1996
963,3422,1996
963,2405,1996
963,3426,1996
997,368,1996
997,369,1996
997,370,1996
997,371,1996
997,372,1996
997,373,1996
997,374,1996
997,375,1996
997,230,1996
997,377,1996
997,378,1996
997,379,1996
997,380,1996
997,381,1996
997,225,1996
997,4497,1996
1002,927,1996
1002,1003,1996
1002,1004,1996
1002,513,1996
1002,216,1996
1003,16,1996
