Source,Target,Year
170,842,1997
170,2270,1997
278,211,1997
278,1839,1997
278,1840,1997
278,277,1997
278,276,1997
278,1078,1997
311,7640,1997
311,312,1997
311,7641,1997
311,1842,1997
311,219,1997
311,1843,1997
311,5558,1997
322,321,1997
323,1262,1997
323,5854,1997
323,5682,1997
323,1025,1997
327,324,1997
327,331,1997
342,319,1997
342,321,1997
342,332,1997
342,219,1997
342,345,1997
346,211,1997
346,312,1997
346,329,1997
346,334,1997
346,1842,1997
346,219,1997
346,1843,1997
461,4687,1997
461,236,1997
461,4765,1997
461,1103,1997
466,236,1997
466,238,1997
466,239,1997
470,469,1997
470,5831,1997
470,5441,1997
470,1835,1997
470,4722,1997
470,1584,1997
477,473,1997
477,3482,1997
477,476,1997
477,478,1997
622,616,1997
622,618,1997
622,3067,1997
622,619,1997
622,620,1997
622,621,1997
629,3160,1997
629,631,1997
667,1458,1997
667,635,1997
667,4261,1997
667,3140,1997
674,673,1997
705,171,1997
705,6650,1997
865,5757,1997
878,9077,1997
878,3989,1997
888,1742,1997
888,889,1997
943,1335,1997
943,7243,1997
943,7244,1997
952,1341,1997
952,192,1997
952,1342,1997
952,7622,1997
952,195,1997
952,1409,1997
952,1343,1997
952,1706,1997
952,197,1997
952,954,1997
952,199,1997
952,198,1997
952,4006,1997
952,201,1997
952,3524,1997
952,774,1997
952,3112,1997
952,1347,1997
952,205,1997
952,962,1997
952,2171,1997
952,206,1997
959,954,1997
959,961,1997
959,962,1997
990,992,1997
990,993,1997
990,21,1997
990,813,1997
990,121,1997
990,287,1997
1039,19,1997
1080,1078,1997
1080,1079,1997
1080,6090,1997
1080,605,1997
1166,20,1997
1166,2653,1997
1166,1556,1997
1166,2950,1997
1166,2764,1997
1166,800,1997
1166,451,1997
1166,906,1997
1166,1960,1997
1166,454,1997
1166,588,1997
1166,3101,1997
1166,6705,1997
1166,632,1997
1166,3010,1997
1166,1847,1997
1166,5428,1997
1166,132,1997
1166,6679,1997
1166,634,1997
1166,805,1997
1166,2876,1997
1166,807,1997
1166,827,1997
1166,62,1997
1166,2098,1997
1185,635,1997
1185,3160,1997
1185,672,1997
1185,1530,1997
1185,7038,1997
1185,7039,1997
1193,731,1997
1193,494,1997
1193,496,1997
1196,412,1997
1196,1189,1997
1196,731,1997
1196,416,1997
1196,417,1997
1243,1242,1997
1277,6407,1997
1277,3383,1997
1277,1278,1997
1277,9275,1997
1277,1140,1997
1387,1384,1997
1387,1385,1997
1387,1386,1997
1387,3181,1997
1387,2281,1997
1516,1517,1997
1516,1518,1997
1531,1798,1997
1619,807,1997
1619,808,1997
1619,23,1997
1641,6700,1997
1641,2241,1997
1641,8373,1997
1641,1003,1997
1641,3770,1997
1687,4741,1997
1697,2338,1997
1697,770,1997
1726,1725,1997
1792,635,1997
1792,914,1997
1792,924,1997
1792,3105,1997
1792,3993,1997
1863,1576,1997
1863,1861,1997
1863,1862,1997
1866,7788,1997
1866,4216,1997
1866,6199,1997
1866,913,1997
1866,830,1997
1866,2699,1997
1866,6426,1997
1866,2604,1997
1866,5498,1997
1866,1852,1997
1866,1975,1997
1866,4997,1997
1866,1864,1997
1866,1469,1997
1866,6373,1997
1866,7224,1997
1866,1158,1997
1866,654,1997
1866,3929,1997
1866,1391,1997
1866,1259,1997
1866,1260,1997
1866,7789,1997
1866,1560,1997
1866,6206,1997
1866,8293,1997
1882,4002,1997
1882,2851,1997
1882,4003,1997
1882,2140,1997
1882,6846,1997
1893,211,1997
1893,2848,1997
