Source,Target,Year
29,2426,1998
29,16,1998
29,4378,1998
29,998,1998
29,2875,1998
29,26,1998
29,27,1998
29,28,1998
29,3121,1998
29,5978,1998
29,30,1998
39,36,1998
39,37,1998
39,8151,1998
39,38,1998
200,192,1998
200,194,1998
200,195,1998
200,197,1998
200,198,1998
200,199,1998
200,201,1998
200,202,1998
200,203,1998
200,205,1998
200,206,1998
297,8601,1998
297,2014,1998
298,5435,1998
298,2225,1998
298,2014,1998
298,6128,1998
298,6026,1998
298,865,1998
298,6900,1998
298,297,1998
326,320,1998
326,321,1998
326,9315,1998
326,339,1998
326,341,1998
326,313,1998
338,329,1998
338,217,1998
338,1425,1998
338,336,1998
338,219,1998
338,334,1998
338,339,1998
338,344,1998
338,346,1998
361,359,1998
361,7405,1998
361,360,1998
361,7474,1998
361,6275,1998
361,1090,1998
361,7475,1998
361,5573,1998
361,1091,1998
361,7476,1998
411,3000,1998
411,410,1998
411,4117,1998
411,4821,1998
411,2286,1998
415,412,1998
415,3849,1998
415,419,1998
419,412,1998
419,222,1998
419,413,1998
419,414,1998
419,415,1998
419,416,1998
419,417,1998
419,229,1998
419,418,1998
419,3849,1998
468,3383,1998
468,469,1998
468,3756,1998
468,760,1998
468,724,1998
468,4250,1998
468,5597,1998
468,908,1998
468,1583,1998
468,8575,1998
471,467,1998
471,7912,1998
471,927,1998
471,468,1998
471,469,1998
471,3756,1998
471,5831,1998
471,1277,1998
471,1584,1998
520,4444,1998
520,3337,1998
657,4131,1998
765,760,1998
765,1412,1998
765,3636,1998
765,761,1998
765,6065,1998
765,4187,1998
940,303,1998
940,380,1998
940,8547,1998
940,2031,1998
940,5357,1998
942,1496,1998
942,2402,1998
942,2403,1998
942,1497,1998
942,2405,1998
942,3540,1998
942,593,1998
942,306,1998
942,2406,1998
942,1535,1998
942,208,1998
953,13,1998
956,3803,1998
956,6056,1998
956,199,1998
956,6057,1998
956,4006,1998
956,773,1998
956,6058,1998
964,1033,1998
964,5001,1998
964,3696,1998
964,5002,1998
996,20,1998
996,2323,1998
1040,8357,1998
1125,1122,1998
1125,9121,1998
1125,1120,1998
1125,1126,1998
1187,368,1998
1187,1188,1998
1187,3192,1998
1187,731,1998
1187,732,1998
1187,3188,1998
1187,1721,1998
1187,733,1998
1187,1194,1998
1187,1096,1998
1187,476,1998
1187,2012,1998
1191,731,1998
1191,1192,1998
1191,1193,1998
1191,734,1998
1191,495,1998
1191,496,1998
1191,1199,1998
1191,776,1998
1191,1201,1998
1425,2196,1998
1425,1841,1998
1425,7700,1998
1425,338,1998
1425,219,1998
1425,7701,1998
1425,346,1998
1528,163,1998
1528,6813,1998
1528,1182,1998
1528,1530,1998
1528,7038,1998
1528,1697,1998
1528,673,1998
1528,7039,1998
1528,1185,1998
1532,4519,1998
1532,631,1998
1532,916,1998
1532,1531,1998
1532,1534,1998
1532,2528,1998
1532,4980,1998
1532,451,1998
1533,2595,1998
1533,2567,1998
1533,587,1998
1533,1182,1998
1533,1528,1998
1533,1530,1998
1533,1531,1998
1533,1532,1998
1533,2528,1998
1533,451,1998
1534,5902,1998
1534,1182,1998
1534,631,1998
1534,1530,1998
1534,1532,1998
1534,2528,1998
1534,8292,1998
1732,11728,1998
1732,1733,1998
1796,1792,1998
1796,914,1998
1796,3265,1998
1796,1797,1998
1867,2604,1998
1867,1852,1998
1867,654,1998
1867,3929,1998
1867,1866,1998
1867,3930,1998
1867,2630,1998
1869,5853,1998
1869,2842,1998
1869,4997,1998
1869,4385,1998
1869,4309,1998
1924,573,1998
1924,245,1998
1924,247,1998
1924,2339,1998
1924,104,1998
1924,1430,1998
1924,1431,1998
1924,6653,1998
1924,1874,1998
1924,1653,1998
1924,1926,1998
1935,1938,1998
1967,4057,1998
1967,1965,1998
1967,1246,1998
1967,1247,1998
1967,1074,1998
1967,7924,1998
1967,1968,1998
2015,2014,1998
2015,4808,1998
2015,4809,1998
2015,4810,1998
2015,4811,1998
2015,544,1998
2110,593,1998
2129,209,1998
2129,1756,1998
2129,2130,1998
2129,8091,1998
2129,2133,1998
2130,1841,1998
2130,2131,1998
2130,2133,1998
2131,2129,1998
2131,2130,1998
2131,2133,1998
2172,760,1998
2172,773,1998
2172,761,1998
2172,159,1998
2172,763,1998
2172,1412,1998
2172,1411,1998
2172,774,1998
2172,765,1998
2172,206,1998
2172,605,1998
2172,778,1998
2172,5535,1998
2189,3239,1998
2189,3241,1998
2273,1126,1998
2273,3727,1998
2273,1915,1998
2273,2856,1998
2273,1465,1998
2273,21,1998
2273,2857,1998
2273,1846,1998
2273,2283,1998
2273,2860,1998
2273,2861,1998
2273,2863,1998
2342,4679,1998
2342,6343,1998
2342,4127,1998
2342,6192,1998
2342,5159,1998
2342,2343,1998
2342,2344,1998
2342,6193,1998
2342,657,1998
2342,6344,1998
2344,2342,1998
2344,2338,1998
2344,2343,1998
2344,770,1998
2392,1768,1998
2392,6232,1998
2407,2706,1998
2407,4044,1998
2407,4045,1998
2501,3811,1998
2501,644,1998
2501,224,1998
2501,5927,1998
2501,5928,1998
2501,537,1998
2501,2551,1998
2501,733,1998
2501,229,1998
2501,2503,1998
2501,5929,1998
2504,643,1998
2504,509,1998
2504,537,1998
2504,2902,1998
2504,3678,1998
2504,230,1998
2504,229,1998
2504,1874,1998
2504,1500,1998
2504,2276,1998
2504,1653,1998
2504,6984,1998
2528,635,1998
2528,451,1998
2528,1527,1998
2528,1182,1998
2528,1528,1998
2528,631,1998
2528,916,1998
2528,1530,1998
2528,1531,1998
2528,1532,1998
2528,1533,1998
2528,1534,1998
2528,673,1998
2528,587,1998
2528,672,1998
2580,280,1998
2580,5037,1998
2580,284,1998
2580,813,1998
2580,10521,1998
2581,280,1998
2581,683,1998
2581,2579,1998
2707,371,1998
2707,7435,1998
2707,308,1998
2709,4117,1998
2709,4821,1998
2709,411,1998
2709,2286,1998
2952,680,1998
2952,1823,1998
2952,2495,1998
3000,1430,1998
3000,408,1998
3000,2709,1998
3000,2710,1998
3000,109,1998
3000,411,1998
3000,2711,1998
3000,2712,1998
3000,641,1998
3053,5757,1998
3120,30,1998
3120,35,1998
3120,1146,1998
3120,3121,1998
3120,9016,1998
3120,25,1998
3120,9017,1998
3188,473,1998
3188,2007,1998
3188,302,1998
3188,1187,1998
3188,731,1998
3188,732,1998
3188,1721,1998
3188,733,1998
3188,1194,1998
3188,553,1998
3188,12,1998
3188,2009,1998
3188,2010,1998
3188,476,1998
3188,2012,1998
3217,2150,1998
3217,2524,1998
3239,3241,1998
3265,1792,1998
3265,1795,1998
3265,1798,1998
3318,314,1998
3318,3317,1998
3318,318,1998
3318,9316,1998
