ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN
2010,DEEPWALK,MICRO-F1,0.6575963718820862,2205,9276
2010,DEEPWALK,MACRO-F1,0.33976806003926807,2205,9276
2010,CTDNE,MICRO-F1,0.5863945578231292,2205,9276
2010,CTDNE,MACRO-F1,0.30558384506588204,2205,9276
2010,WALKHUBS2VEC,MICRO-F1,0.48072562358276644,2205,9276
2010,WALKHUBS2VEC,MACRO-F1,0.16541088055833947,2205,9276
2011,DEEPWALK,MICRO-F1,0.6349862258953168,2904,11481
2011,DEEPWALK,MACRO-F1,0.33092854724815934,2904,11481
2011,CTDNE,MICRO-F1,0.5761019283746557,2904,11481
2011,CTDNE,MACRO-F1,0.28159170576462605,2904,11481
2011,WALKHUBS2VEC,MICRO-F1,0.4807162534435262,2904,11481
2011,WALKHUBS2VEC,MACRO-F1,0.16111881971572958,2904,11481
2012,DEEPWALK,MICRO-F1,0.6171562867215041,4255,14408
2012,DEEPWALK,MACRO-F1,0.3385439535322903,4255,14408
2012,CTDNE,MICRO-F1,0.5689776733254994,4255,14408
2012,CTDNE,MACRO-F1,0.2926618880282256,4255,14408
2012,WALKHUBS2VEC,MICRO-F1,0.48131609870740305,4255,14408
2012,WALKHUBS2VEC,MACRO-F1,0.17295411535823313,4255,14408
