ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN,PREDICTOR,CENTRALITY
1986,deepwalk,micro-F1,0.7142857142857143,7,132,Logistic Regression,degree
1986,deepwalk,macro-F1,0.5047619047619047,7,132,Logistic Regression,degree
1986,deepwalk,micro-F1,0.5714285714285714,7,132,Random Forest,degree
1986,deepwalk,macro-F1,0.27777777777777773,7,132,Random Forest,degree
1986,ctdne,micro-F1,0.42857142857142855,7,132,Logistic Regression,degree
1986,ctdne,macro-F1,0.15,7,132,Logistic Regression,degree
1986,ctdne,micro-F1,0.14285714285714285,7,132,Random Forest,degree
1986,ctdne,macro-F1,0.05714285714285715,7,132,Random Forest,degree
1986,tnodeembedding,micro-F1,0.5714285714285714,7,132,Logistic Regression,degree
1986,tnodeembedding,macro-F1,0.3333333333333333,7,132,Logistic Regression,degree
1986,tnodeembedding,micro-F1,0.7142857142857143,7,132,Random Forest,degree
1986,tnodeembedding,macro-F1,0.4666666666666666,7,132,Random Forest,degree
1986,WALKHUBS2VEC,micro-F1,0.42857142857142855,7,132,Logistic Regression,degree
1986,WALKHUBS2VEC,macro-F1,0.29333333333333333,7,132,Logistic Regression,degree
1986,WALKHUBS2VEC,micro-F1,0.7142857142857143,7,132,Random Forest,degree
1986,WALKHUBS2VEC,macro-F1,0.4444444444444444,7,132,Random Forest,degree
1987,deepwalk,micro-F1,0.5416666666666666,24,139,Logistic Regression,degree
1987,deepwalk,macro-F1,0.3795454545454545,24,139,Logistic Regression,degree
1987,deepwalk,micro-F1,0.7083333333333334,24,139,Random Forest,degree
1987,deepwalk,macro-F1,0.4373543123543123,24,139,Random Forest,degree
1987,ctdne,micro-F1,0.25,24,139,Logistic Regression,degree
1987,ctdne,macro-F1,0.05714285714285715,24,139,Logistic Regression,degree
1987,ctdne,micro-F1,0.20833333333333334,24,139,Random Forest,degree
1987,ctdne,macro-F1,0.046296296296296294,24,139,Random Forest,degree
1987,tnodeembedding,micro-F1,0.6666666666666666,24,139,Logistic Regression,degree
1987,tnodeembedding,macro-F1,0.42544955044955046,24,139,Logistic Regression,degree
1987,tnodeembedding,micro-F1,0.6666666666666666,24,139,Random Forest,degree
1987,tnodeembedding,macro-F1,0.42544955044955046,24,139,Random Forest,degree
1987,WALKHUBS2VEC,micro-F1,0.625,24,139,Logistic Regression,degree
1987,WALKHUBS2VEC,macro-F1,0.40753968253968254,24,139,Logistic Regression,degree
1987,WALKHUBS2VEC,micro-F1,0.5,24,139,Random Forest,degree
1987,WALKHUBS2VEC,macro-F1,0.20238095238095238,24,139,Random Forest,degree
1988,deepwalk,micro-F1,0.6857142857142857,35,163,Logistic Regression,degree
1988,deepwalk,macro-F1,0.5125,35,163,Logistic Regression,degree
1988,deepwalk,micro-F1,0.6857142857142857,35,163,Random Forest,degree
1988,deepwalk,macro-F1,0.5139841137123746,35,163,Random Forest,degree
1988,ctdne,micro-F1,0.4000000000000001,35,163,Logistic Regression,degree
1988,ctdne,macro-F1,0.251453488372093,35,163,Logistic Regression,degree
1988,ctdne,micro-F1,0.5428571428571428,35,163,Random Forest,degree
1988,ctdne,macro-F1,0.4570075757575758,35,163,Random Forest,degree
1988,tnodeembedding,micro-F1,0.6857142857142857,35,163,Logistic Regression,degree
1988,tnodeembedding,macro-F1,0.4918560606060606,35,163,Logistic Regression,degree
1988,tnodeembedding,micro-F1,0.7714285714285715,35,163,Random Forest,degree
1988,tnodeembedding,macro-F1,0.5981060606060606,35,163,Random Forest,degree
1988,WALKHUBS2VEC,micro-F1,0.5428571428571428,35,163,Logistic Regression,degree
1988,WALKHUBS2VEC,macro-F1,0.4384854276158624,35,163,Logistic Regression,degree
1988,WALKHUBS2VEC,micro-F1,0.6285714285714286,35,163,Random Forest,degree
1988,WALKHUBS2VEC,macro-F1,0.4679018445322793,35,163,Random Forest,degree
1989,deepwalk,micro-F1,0.7142857142857143,56,198,Logistic Regression,degree
1989,deepwalk,macro-F1,0.500484496124031,56,198,Logistic Regression,degree
1989,deepwalk,micro-F1,0.7321428571428571,56,198,Random Forest,degree
1989,deepwalk,macro-F1,0.5134230926152591,56,198,Random Forest,degree
1989,ctdne,micro-F1,0.7321428571428571,56,198,Logistic Regression,degree
1989,ctdne,macro-F1,0.5615942028985508,56,198,Logistic Regression,degree
1989,ctdne,micro-F1,0.6607142857142857,56,198,Random Forest,degree
1989,ctdne,macro-F1,0.5129196375519904,56,198,Random Forest,degree
1989,tnodeembedding,micro-F1,0.7142857142857143,56,198,Logistic Regression,degree
1989,tnodeembedding,macro-F1,0.500484496124031,56,198,Logistic Regression,degree
1989,tnodeembedding,micro-F1,0.6964285714285714,56,198,Random Forest,degree
1989,tnodeembedding,macro-F1,0.4926378446115288,56,198,Random Forest,degree
