ANNO,ALGORITMO,SCORE,VALUE,TEST,TRAIN,PREDICTOR,CENTRALITY
1986,deepwalk,micro-F1,0.5714285714285714,7,132,Logistic Regression,degree
1986,deepwalk,macro-F1,0.30952380952380953,7,132,Logistic Regression,degree
1986,deepwalk,micro-F1,0.5714285714285714,7,132,Random Forest,degree
1986,deepwalk,macro-F1,0.27777777777777773,7,132,Random Forest,degree
1986,ctdne,micro-F1,0.42857142857142855,7,132,Logistic Regression,degree
1986,ctdne,macro-F1,0.15,7,132,Logistic Regression,degree
1986,ctdne,micro-F1,0.14285714285714285,7,132,Random Forest,degree
1986,ctdne,macro-F1,0.05714285714285715,7,132,Random Forest,degree
1986,tnodeembedding,micro-F1,0.7142857142857143,7,132,Logistic Regression,degree
1986,tnodeembedding,macro-F1,0.4444444444444444,7,132,Logistic Regression,degree
1986,tnodeembedding,micro-F1,0.7142857142857143,7,132,Random Forest,degree
1986,tnodeembedding,macro-F1,0.4666666666666666,7,132,Random Forest,degree
1986,WALKHUBS2VEC,micro-F1,0.7142857142857143,7,132,Logistic Regression,degree
1986,WALKHUBS2VEC,macro-F1,0.5047619047619047,7,132,Logistic Regression,degree
1986,WALKHUBS2VEC,micro-F1,0.5714285714285714,7,132,Random Forest,degree
1986,WALKHUBS2VEC,macro-F1,0.3333333333333333,7,132,Random Forest,degree
1987,deepwalk,micro-F1,0.7083333333333334,24,139,Logistic Regression,degree
1987,deepwalk,macro-F1,0.4373543123543123,24,139,Logistic Regression,degree
1987,deepwalk,micro-F1,0.6666666666666666,24,139,Random Forest,degree
1987,deepwalk,macro-F1,0.42544955044955046,24,139,Random Forest,degree
1987,ctdne,micro-F1,0.25,24,139,Logistic Regression,degree
1987,ctdne,macro-F1,0.05714285714285715,24,139,Logistic Regression,degree
1987,ctdne,micro-F1,0.3333333333333333,24,139,Random Forest,degree
1987,ctdne,macro-F1,0.25170068027210885,24,139,Random Forest,degree
1987,tnodeembedding,micro-F1,0.7083333333333334,24,139,Logistic Regression,degree
1987,tnodeembedding,macro-F1,0.48064435564435565,24,139,Logistic Regression,degree
1987,tnodeembedding,micro-F1,0.5833333333333334,24,139,Random Forest,degree
1987,tnodeembedding,macro-F1,0.39973262032085566,24,139,Random Forest,degree
1987,WALKHUBS2VEC,micro-F1,0.625,24,139,Logistic Regression,degree
1987,WALKHUBS2VEC,macro-F1,0.2941468253968254,24,139,Logistic Regression,degree
1987,WALKHUBS2VEC,micro-F1,0.5,24,139,Random Forest,degree
1987,WALKHUBS2VEC,macro-F1,0.206002331002331,24,139,Random Forest,degree
1988,deepwalk,micro-F1,0.6571428571428571,35,163,Logistic Regression,degree
1988,deepwalk,macro-F1,0.45000000000000007,35,163,Logistic Regression,degree
1988,deepwalk,micro-F1,0.7428571428571429,35,163,Random Forest,degree
1988,deepwalk,macro-F1,0.5565217391304348,35,163,Random Forest,degree
1988,ctdne,micro-F1,0.37142857142857144,35,163,Logistic Regression,degree
1988,ctdne,macro-F1,0.20833333333333334,35,163,Logistic Regression,degree
1988,ctdne,micro-F1,0.4857142857142857,35,163,Random Forest,degree
1988,ctdne,macro-F1,0.36818181818181817,35,163,Random Forest,degree
1988,tnodeembedding,micro-F1,0.6571428571428571,35,163,Logistic Regression,degree
1988,tnodeembedding,macro-F1,0.5027777777777778,35,163,Logistic Regression,degree
1988,tnodeembedding,micro-F1,0.7142857142857143,35,163,Random Forest,degree
1988,tnodeembedding,macro-F1,0.5432806324110673,35,163,Random Forest,degree
1988,WALKHUBS2VEC,micro-F1,0.6285714285714286,35,163,Logistic Regression,degree
1988,WALKHUBS2VEC,macro-F1,0.4864624505928854,35,163,Logistic Regression,degree
1988,WALKHUBS2VEC,micro-F1,0.5142857142857142,35,163,Random Forest,degree
1988,WALKHUBS2VEC,macro-F1,0.41480186480186476,35,163,Random Forest,degree
1989,deepwalk,micro-F1,0.6964285714285714,56,198,Logistic Regression,degree
1989,deepwalk,macro-F1,0.498538961038961,56,198,Logistic Regression,degree
1989,deepwalk,micro-F1,0.75,56,198,Random Forest,degree
1989,deepwalk,macro-F1,0.5787878787878789,56,198,Random Forest,degree
1989,ctdne,micro-F1,0.75,56,198,Logistic Regression,degree
1989,ctdne,macro-F1,0.5800595238095239,56,198,Logistic Regression,degree
1989,ctdne,micro-F1,0.6428571428571429,56,198,Random Forest,degree
1989,ctdne,macro-F1,0.500559769022815,56,198,Random Forest,degree
1989,tnodeembedding,micro-F1,0.7142857142857143,56,198,Logistic Regression,degree
1989,tnodeembedding,macro-F1,0.500484496124031,56,198,Logistic Regression,degree
1989,tnodeembedding,micro-F1,0.7321428571428571,56,198,Random Forest,degree
1989,tnodeembedding,macro-F1,0.509469696969697,56,198,Random Forest,degree
