Source,Target,Year
87444,9137,2020
87444,17340,2020
87444,55907,2020
87444,16805,2020
87444,54083,2020
87444,161096,2020
148551,113801,2020
148551,82099,2020
148551,69172,2020
148551,59913,2020
148551,135223,2020
148551,108828,2020
148551,87723,2020
148551,123337,2020
148551,46885,2020
148551,83763,2020
148551,60248,2020
148551,134490,2020
148551,45930,2020
148551,147834,2020
148551,19420,2020
148551,69878,2020
148551,26052,2020
148551,165029,2020
148551,34031,2020
148551,161124,2020
148551,85683,2020
148551,147994,2020
148551,92346,2020
148551,55538,2020
148551,16973,2020
148551,133376,2020
40060,107457,2020
40060,166253,2020
167072,31995,2020
167072,164921,2020
163106,47285,2020
2979,83746,2020
2979,158571,2020
165735,10360,2020
165735,9137,2020
165735,54688,2020
165735,81027,2020
165735,8032,2020
165735,72043,2020
164438,1353,2020
164438,125710,2020
164438,21370,2020
164438,69232,2020
164438,77098,2020
164438,58653,2020
164438,66650,2020
164438,102152,2020
164438,89039,2020
164438,62717,2020
164438,164481,2020
164438,136723,2020
164438,141153,2020
164438,18154,2020
33443,98050,2020
33443,116646,2020
33443,115359,2020
33443,21370,2020
33443,157743,2020
33443,49940,2020
33443,94874,2020
33443,141153,2020
33443,118640,2020
33443,47423,2020
77301,160150,2020
77301,134986,2020
77301,25208,2020
77301,73035,2020
77301,119125,2020
77301,27866,2020
77301,50632,2020
77301,136437,2020
77301,49351,2020
77301,127170,2020
77301,62580,2020
77301,40074,2020
77301,98234,2020
77301,37392,2020
77301,100818,2020
77301,10741,2020
77301,150090,2020
77301,86758,2020
77301,101327,2020
77301,7208,2020
77301,147834,2020
77301,67166,2020
77301,119859,2020
77301,167570,2020
77301,98786,2020
77301,151734,2020
77301,158405,2020
77301,40675,2020
77301,145198,2020
77301,48777,2020
77301,98866,2020
77301,64615,2020
77301,125272,2020
77301,130623,2020
77301,145248,2020
77301,48827,2020
77301,58062,2020
77301,127933,2020
77301,46132,2020
77301,147990,2020
77301,98922,2020
77301,87056,2020
77301,166425,2020
77301,54202,2020
57447,154859,2020
57447,95382,2020
57447,73053,2020
57447,120635,2020
57447,67166,2020
57447,161063,2020
57447,166425,2020
57447,54179,2020
94363,168541,2020
94363,164876,2020
94363,113441,2020
79867,160232,2020
79867,121880,2020
79867,145943,2020
79867,123273,2020
79867,68735,2020
29489,54707,2020
29489,168417,2020
29489,94375,2020
